source_slug,download_status,audit_status,reason,source_scope,verified_at
detection_15_vietnamese_food_v2,roboflow_secret_missing,not_audited,roboflow_secret_missing,roboflow_source_scope.phase1_2026-05-06.csv,2026-05-06
khoa_food_jfsxy,roboflow_secret_missing,not_audited,roboflow_secret_missing,roboflow_source_scope.phase1_2026-05-06.csv,2026-05-06
vietnamese_food_nhh,roboflow_secret_missing,not_audited,roboflow_secret_missing,roboflow_source_scope.phase1_2026-05-06.csv,2026-05-06
food_ingredients_v1,roboflow_secret_missing,not_audited,roboflow_secret_missing,roboflow_source_scope.phase1_2026-05-06.csv,2026-05-06
